                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0184,                 4.2633,                 1.0276,                  0.005,                      1,                0.64817,                0.46519,                0.53949,                 2.8168,                0.95537,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.0792,                 3.2374,                  1.102,                  0.005,                      1,                0.71667,                0.58421,                 0.6043,                  2.807,                0.97964,               9.67e-05,               9.67e-05,               9.67e-05
                      3,                 1.1166,                 3.1529,                  1.112,                  0.005,                      1,                 0.7886,                0.59775,                 0.7115,                 2.8015,                0.99005,             0.00014944,             0.00014944,             0.00014944
                      4,                 1.0875,                 5.5707,                0.99455,                  0.005,                      1,                0.71823,                0.48032,                0.86043,                 2.7863,                 1.1699,             0.00019822,             0.00019822,             0.00019822
                      5,                0.96005,                 2.4872,                 1.0357,                  0.005,                      1,                0.78873,                 0.4949,                0.98787,                  2.764,                 1.2107,             0.00024304,             0.00024304,             0.00024304
                      6,                 0.9535,                 2.1335,                0.98405,                  0.005,                      1,                0.76178,                0.45114,                0.97253,                 2.7692,                 1.2439,              0.0002839,              0.0002839,              0.0002839
                      7,                 1.1095,                 2.6969,                 1.0621,                  0.005,                      1,                0.66529,                0.37594,                0.96058,                 2.7654,                 1.3731,              0.0003208,              0.0003208,              0.0003208
                      8,                0.97192,                 1.8536,                  1.123,                  0.005,                      1,                0.60356,                0.40029,                0.88616,                 2.7769,                 1.3218,             0.00035374,             0.00035374,             0.00035374
                      9,                 0.7956,                 2.0944,                 1.0131,                  0.005,                      1,                0.51563,                0.37509,                0.86716,                 2.7611,                 1.1773,             0.00038272,             0.00038272,             0.00038272
                     10,                 1.0258,                 2.2668,                  1.035,                  0.005,                      1,                0.61232,                0.43003,                0.90819,                 2.7195,                 1.1128,             0.00040774,             0.00040774,             0.00040774
                     11,                0.79784,                 1.4905,                0.97147,                  0.005,                      1,                0.60131,                0.45929,                0.81639,                 2.6909,                 1.0507,              0.0004288,              0.0004288,              0.0004288
                     12,                0.74079,                 1.7536,                0.94288,                  0.005,                      1,                0.61075,                0.45953,                 0.8924,                 2.6874,                 1.1137,              0.0004459,              0.0004459,              0.0004459
                     13,                 0.9379,                 2.3437,                 1.0822,                  0.005,                      1,                0.61012,                0.49621,                0.96229,                 2.7053,                 1.1224,             0.00045904,             0.00045904,             0.00045904
                     14,                0.92845,                 1.8912,                 1.0342,                0.21402,                 0.7733,                0.61171,                 0.4684,                0.91545,                 2.6113,                 1.1084,             0.00046822,             0.00046822,             0.00046822
                     15,                 1.1269,                 2.7483,                 1.0213,                0.74574,                    0.5,                0.57116,                0.31844,                 1.1542,                 2.6036,                 1.3351,             0.00047344,             0.00047344,             0.00047344
                     16,                0.86692,                 1.7918,                 1.0639,                0.68779,                    0.5,                0.58635,                0.32481,                 1.1235,                 2.7734,                 1.2724,              0.0004747,              0.0004747,              0.0004747
                     17,                 1.0318,                 1.6819,                 1.0758,                  0.005,                      1,                0.64882,                0.43931,                 1.0709,                  2.606,                 1.1386,               0.000472,               0.000472,               0.000472
                     18,                0.90057,                 1.7223,                  1.086,                0.01315,                0.83333,                0.67878,                0.45111,                 1.0192,                 2.5015,                 1.1138,             0.00046534,             0.00046534,             0.00046534
                     19,                 1.0163,                  2.275,                 1.0086,                      1,                0.46425,                0.68661,                0.45316,                 0.9874,                 2.4837,                 1.1213,             0.00045472,             0.00045472,             0.00045472
                     20,                  1.101,                 1.8233,                 1.3831,                0.90902,                    0.5,                0.63931,                0.41289,                0.99124,                 2.2183,                 1.1392,             0.00044014,             0.00044014,             0.00044014
                     21,                0.60159,                 7.2766,                0.70017,                0.89746,                    0.5,                0.59577,                0.38296,                 1.1046,                 2.2077,                 1.2175,              0.0004216,              0.0004216,              0.0004216
                     22,                0.57222,                 6.3588,                0.75405,                0.87581,                    0.5,                 0.5841,                0.36774,                  1.136,                 2.3637,                 1.2542,              0.0003991,              0.0003991,              0.0003991
                     23,                0.85975,                 2.4494,                 1.0002,                0.66342,                    0.5,                0.62278,                0.40409,                 1.2021,                 2.5046,                    1.4,             0.00037264,             0.00037264,             0.00037264
                     24,                0.98638,                 2.1184,                 1.2354,                0.38765,                0.83333,                0.66531,                0.35821,                 1.1376,                 2.4922,                 1.3146,             0.00034222,             0.00034222,             0.00034222
                     25,                0.68401,                 2.4238,                0.93657,                0.60197,                0.50492,                0.65763,                0.48478,                  1.132,                 2.4087,                 1.2781,             0.00030784,             0.00030784,             0.00030784
                     26,                 0.8076,                 1.9712,                 1.0346,                0.73675,                0.47351,                0.67709,                0.54818,                 1.0305,                 2.2459,                 1.1921,              0.0002695,              0.0002695,              0.0002695
                     27,                0.52373,                 5.7511,                0.65399,                 0.6108,                0.52701,                0.71873,                0.57571,                0.98555,                 2.1305,                 1.1364,              0.0002272,              0.0002272,              0.0002272
                     28,                0.86763,                 2.0052,                 1.1217,                0.63183,                0.57959,                0.69173,                0.54532,                0.94935,                 1.9692,                 1.0981,             0.00018094,             0.00018094,             0.00018094
                     29,                0.81937,                 2.0409,                 1.0329,                0.63183,                0.57959,                0.69173,                0.54532,                0.94935,                 1.9692,                 1.0981,             0.00013072,             0.00013072,             0.00013072
                     30,                0.73699,                 2.0676,                0.91494,                0.70779,                    0.5,                0.69022,                0.54793,                 0.9046,                 1.8413,                 1.0846,              7.654e-05,              7.654e-05,              7.654e-05
